title,duration,rating,year,url
Unforgiven,130,8.2,1992,https://www.imdb.com//title/tt0105695/
Indiana Jones and the Last Crusade,127,8.2,1989,https://www.imdb.com//title/tt0097576/
Die Hard,132,8.2,1988,https://www.imdb.com//title/tt0095016/
Ran,162,8.2,1985,https://www.imdb.com//title/tt0089881/
The Thing,109,8.2,1982,https://www.imdb.com//title/tt0084787/
Raging Bull,129,8.2,1980,https://www.imdb.com//title/tt0081398/
The Elephant Man,124,8.2,1980,https://www.imdb.com//title/tt0080678/
Taxi Driver,114,8.2,1976,https://www.imdb.com//title/tt0075314/
Monty Python and the Holy Grail,91,8.2,1975,https://www.imdb.com//title/tt0071853/
Dersu Uzala,142,8.2,1975,https://www.imdb.com//title/tt0071411/
Chinatown,130,8.2,1974,https://www.imdb.com//title/tt0071315/
Z,127,8.2,1969,https://www.imdb.com//title/tt0065234/
Per qualche dollaro in più,132,8.2,1965,https://www.imdb.com//title/tt0059578/
The Great Escape,172,8.2,1963,https://www.imdb.com//title/tt0057115/
Yôjinbô,110,8.2,1961,https://www.imdb.com//title/tt0055630/
Some Like It Hot,121,8.2,1959,https://www.imdb.com//title/tt0053291/
The Bridge on the River Kwai,161,8.2,1957,https://www.imdb.com//title/tt0050212/
Dial M for Murder,105,8.2,1954,https://www.imdb.com//title/tt0046912/
Tôkyô monogatari,136,8.2,1953,https://www.imdb.com//title/tt0046438/
Le salaire de la peur,131,8.2,1953,https://www.imdb.com//title/tt0046268/
Umberto D.,89,8.2,1952,https://www.imdb.com//title/tt0045274/
Rashômon,88,8.2,1950,https://www.imdb.com//title/tt0042876/
All About Eve,138,8.2,1950,https://www.imdb.com//title/tt0042192/
The Treasure of the Sierra Madre,126,8.2,1948,https://www.imdb.com//title/tt0040897/
To Be or Not to Be,99,8.2,1942,https://www.imdb.com//title/tt0035446/
Gone with the Wind,238,8.2,1939,https://www.imdb.com//title/tt0031381/
La passion de Jeanne d'Arc,110,8.2,1928,https://www.imdb.com//title/tt0019254/
The General,67,8.2,1926,https://www.imdb.com//title/tt0017925/
The Gold Rush,95,8.2,1925,https://www.imdb.com//title/tt0015864/
Sherlock Jr.,45,8.2,1924,https://www.imdb.com//title/tt0015324/
Portrait de la jeune fille en feu,122,8.1,2019,https://www.imdb.com//title/tt8613070/
Pink,136,8.1,III),https://www.imdb.com//title/tt5571734/
Koe no katachi,130,8.1,2016,https://www.imdb.com//title/tt5323662/
"Three Billboards Outside Ebbing, Missouri",115,8.1,2017,https://www.imdb.com//title/tt5027774/
Talvar,132,8.1,2015,https://www.imdb.com//title/tt4934950/
Klaus,96,8.1,2019,https://www.imdb.com//title/tt4729430/
Masaan,109,8.1,2015,https://www.imdb.com//title/tt4635372/
Ah-ga-ssi,145,8.1,2016,https://www.imdb.com//title/tt4016934/
Bajrangi Bhaijaan,163,8.1,2015,https://www.imdb.com//title/tt3863552/
Haider,160,8.1,2014,https://www.imdb.com//title/tt3390572/
Queen,146,8.1,2013,https://www.imdb.com//title/tt3322420/
Logan,137,8.1,2017,https://www.imdb.com//title/tt3315342/
Room,118,8.1,I) (,https://www.imdb.com//title/tt3170832/
Relatos salvajes,122,8.1,2014,https://www.imdb.com//title/tt3011894/
Mandariinid,87,8.1,2013,https://www.imdb.com//title/tt2991224/
PK,153,8.1,2014,https://www.imdb.com//title/tt2338151/
OMG: Oh My God!,125,8.1,2012,https://www.imdb.com//title/tt2283748/
The Grand Budapest Hotel,99,8.1,2014,https://www.imdb.com//title/tt2278388/
Gone Girl,149,8.1,2014,https://www.imdb.com//title/tt2267998/
Ôkami kodomo no Ame to Yuki,117,8.1,2012,https://www.imdb.com//title/tt2140203/
Hacksaw Ridge,139,8.1,2016,https://www.imdb.com//title/tt2119532/
Barfi!,151,8.1,2012,https://www.imdb.com//title/tt2082197/
12 Years a Slave,134,8.1,2013,https://www.imdb.com//title/tt2024544/
Rush,123,8.1,I) (,https://www.imdb.com//title/tt1979320/
Ford v Ferrari,152,8.1,2019,https://www.imdb.com//title/tt1950186/
Spotlight,129,8.1,I) (,https://www.imdb.com//title/tt1895587/
Kahaani,122,8.1,2012,https://www.imdb.com//title/tt1821480/
Udaan,134,8.1,2010,https://www.imdb.com//title/tt1639426/
Zindagi Na Milegi Dobara,155,8.1,2011,https://www.imdb.com//title/tt1562872/
The Help,146,8.1,2011,https://www.imdb.com//title/tt1454029/
Prisoners,153,8.1,2013,https://www.imdb.com//title/tt1392214/
Mad Max: Fury Road,120,8.1,2015,https://www.imdb.com//title/tt1392190/
A Wednesday,104,8.1,2008,https://www.imdb.com//title/tt1280558/
Gran Torino,116,8.1,2008,https://www.imdb.com//title/tt1205489/
Harry Potter and the Deathly Hallows: Part 2,130,8.1,2011,https://www.imdb.com//title/tt1201607/
Hachi: A Dog's Tale,93,8.1,2009,https://www.imdb.com//title/tt1028532/
Mary and Max.,92,8.1,2009,https://www.imdb.com//title/tt0978762/
How to Train Your Dragon,98,8.1,2010,https://www.imdb.com//title/tt0892769/
Chak De! India,153,8.1,2007,https://www.imdb.com//title/tt0871510/
Into the Wild,148,8.1,2007,https://www.imdb.com//title/tt0758758/
Rang De Basanti,167,8.1,2006,https://www.imdb.com//title/tt0405508/
Million Dollar Baby,132,8.1,2004,https://www.imdb.com//title/tt0405159/
Hotel Rwanda,121,8.1,2004,https://www.imdb.com//title/tt0395169/
Ratatouille,111,8.1,2007,https://www.imdb.com//title/tt0382932/
Before Sunset,80,8.1,2004,https://www.imdb.com//title/tt0381681/
Black,122,8.1,2005,https://www.imdb.com//title/tt0375611/
Munna Bhai M.B.B.S.,156,8.1,2003,https://www.imdb.com//title/tt0374887/
"Swades: We, the People",210,8.1,2004,https://www.imdb.com//title/tt0367110/
Salinui chueok,131,8.1,2003,https://www.imdb.com//title/tt0353969/
Pirates of the Caribbean: The Curse of the Black Pearl,143,8.1,2003,https://www.imdb.com//title/tt0325980/
Dil Chahta Hai,183,8.1,2001,https://www.imdb.com//title/tt0292490/
Catch Me If You Can,141,8.1,2002,https://www.imdb.com//title/tt0264464/
Her Sey Çok Güzel Olacak,107,8.1,1998,https://www.imdb.com//title/tt0263438/
Amores perros,154,8.1,2000,https://www.imdb.com//title/tt0245712/
Hera Pheri,156,8.1,2000,https://www.imdb.com//title/tt0242519/
Sarfarosh,174,8.1,1999,https://www.imdb.com//title/tt0200087/
"Monsters, Inc.",92,8.1,2001,https://www.imdb.com//title/tt0198781/
Lagaan: Once Upon a Time in India,224,8.1,2001,https://www.imdb.com//title/tt0169102/
Festen,105,8.1,1998,https://www.imdb.com//title/tt0154420/
The Iron Giant,86,8.1,1999,https://www.imdb.com//title/tt0129167/
The Big Lebowski,117,8.1,1998,https://www.imdb.com//title/tt0118715/
Fa Yeung Nin Wah,98,8.1,2000,https://www.imdb.com//title/tt0118694/
Trainspotting,93,8.1,1996,https://www.imdb.com//title/tt0117951/
Fargo,98,8.1,1996,https://www.imdb.com//title/tt0116282/
Eskiya,128,8.1,1996,https://www.imdb.com//title/tt0116231/
Underground,170,8.1,1995,https://www.imdb.com//title/tt0114787/
La haine,98,8.1,1995,https://www.imdb.com//title/tt0113247/
Before Sunrise,101,8.1,1995,https://www.imdb.com//title/tt0112471/
Trois couleurs: Rouge,99,8.1,1994,https://www.imdb.com//title/tt0111495/
In the Name of the Father,133,8.1,1993,https://www.imdb.com//title/tt0107207/
Groundhog Day,101,8.1,1993,https://www.imdb.com//title/tt0107048/
Ba wang bie ji,171,8.1,1993,https://www.imdb.com//title/tt0106332/
Da hong deng long gao gao gua,125,8.1,1991,https://www.imdb.com//title/tt0101640/
Dom za vesanje,142,8.1,1988,https://www.imdb.com//title/tt0097223/
Dead Poets Society,128,8.1,1989,https://www.imdb.com//title/tt0097165/
Tonari no Totoro,86,8.1,1988,https://www.imdb.com//title/tt0096283/
Stand by Me,89,8.1,1986,https://www.imdb.com//title/tt0092005/
Platoon,120,8.1,1986,https://www.imdb.com//title/tt0091763/
Jean de Florette,120,8.1,1986,https://www.imdb.com//title/tt0091288/
The Terminator,107,8.1,1984,https://www.imdb.com//title/tt0088247/
Gandhi,191,8.1,1982,https://www.imdb.com//title/tt0083987/
Fanny och Alexander,188,8.1,1982,https://www.imdb.com//title/tt0083922/
Blade Runner,117,8.1,1982,https://www.imdb.com//title/tt0083658/
Stalker,162,8.1,1979,https://www.imdb.com//title/tt0079944/
Höstsonaten,99,8.1,1978,https://www.imdb.com//title/tt0077711/
The Deer Hunter,183,8.1,1978,https://www.imdb.com//title/tt0077416/
Rocky,120,8.1,1976,https://www.imdb.com//title/tt0075148/
Network,121,8.1,1976,https://www.imdb.com//title/tt0074958/
The Message,177,8.1,1976,https://www.imdb.com//title/tt0074896/
Sholay,204,8.1,1975,https://www.imdb.com//title/tt0073707/
Jaws,124,8.1,1975,https://www.imdb.com//title/tt0073195/
Barry Lyndon,185,8.1,1975,https://www.imdb.com//title/tt0072684/
Paper Moon,102,8.1,1973,https://www.imdb.com//title/tt0070510/
The Exorcist,122,8.1,1973,https://www.imdb.com//title/tt0070047/
Anand,122,8.1,1971,https://www.imdb.com//title/tt0066763/
Cool Hand Luke,127,8.1,1967,https://www.imdb.com//title/tt0061512/
Persona,85,8.1,1966,https://www.imdb.com//title/tt0060827/
The Sound of Music,172,8.1,1965,https://www.imdb.com//title/tt0059742/
La battaglia di Algeri,121,8.1,1966,https://www.imdb.com//title/tt0058946/
The Man Who Shot Liberty Valance,123,8.1,1962,https://www.imdb.com//title/tt0056217/
Jungfrukällan,89,8.1,1960,https://www.imdb.com//title/tt0053976/
Inherit the Wind,128,8.1,1960,https://www.imdb.com//title/tt0053946/
